Age,Tenure_Months,Monthly_Charges,Churn
35,72,37.66,0
35,72,60.5,0
38,33,41.6,0
18,3,28.96,1
23,34,75.83,0
58,1,80.18,1
61,1,53.47,1
39,9,20.0,0
48,16,54.08,1
45,35,72.84,0
78,27,35.42,0
55,14,68.67,1
40,7,64.69,1
30,72,76.59,0
22,13,67.39,1
44,14,45.54,0
32,4,88.93,1
24,38,61.83,0
34,28,64.45,1
29,5,46.33,1
62,2,56.13,0
52,27,47.3,0
41,25,61.54,0
59,7,99.23,1
42,72,37.56,0
31,3,32.73,0
60,13,94.42,1
48,69,60.81,0
29,13,51.62,0
39,24,85.8,1
31,12,52.89,0
25,7,101.52,1
53,72,78.56,0
64,12,55.24,1
25,53,108.15,1
48,6,52.89,0
34,5,79.84,1
36,1,70.99,1
34,25,91.03,1
31,11,96.23,1
42,47,65.64,0
32,15,49.93,0
45,72,74.2,0
41,4,51.45,0
39,48,105.27,1
31,35,67.73,0
35,35,57.69,0
51,44,68.69,0
48,34,38.06,0
30,23,45.57,1
43,3,89.01,1
51,1,51.86,0
21,60,44.06,0
48,23,75.73,1
34,38,88.71,1
48,15,79.38,1
32,2,84.92,1
20,3,49.86,1
22,27,36.56,0
42,13,95.03,1
45,5,58.55,0
31,16,59.98,1
49,1,91.56,1
22,20,76.12,1
41,7,74.12,1
27,38,108.3,1
34,8,52.13,0
42,14,83.56,1
31,1,66.14,1
37,1,70.37,1
54,11,95.57,1
35,15,75.16,1
52,21,75.77,0
28,8,86.45,1
48,28,57.7,0
59,47,48.22,0
18,36,44.1,1
32,1,25.67,0
48,15,106.12,1
39,2,42.94,0
46,6,60.57,1
34,72,59.46,0
43,3,71.15,0
40,16,81.31,1
56,23,82.21,1
45,29,53.34,0
46,19,61.66,1
37,1,70.65,0
36,9,60.03,1
36,17,97.15,1
46,2,74.82,1
36,10,79.7,1
45,1,78.26,1
66,1,88.47,1
52,12,68.62,1
38,3,39.06,0
56,20,72.99,1
37,28,51.97,0
18,38,54.43,0
29,5,76.73,1
19,4,89.77,1
37,2,65.43,1
42,24,71.18,0
62,29,99.04,1
45,1,69.82,1
39,66,117.03,1
51,1,76.31,1
18,18,29.78,0
44,29,80.07,0
51,49,72.62,1
24,30,90.8,1
55,38,78.46,1
46,9,62.23,1
37,40,40.51,0
49,2,60.82,1
69,54,47.99,0
44,19,53.39,1
44,40,76.77,1
36,14,98.4,1
31,24,72.89,1
51,17,41.08,0
31,31,73.89,1
42,2,88.93,1
36,1,52.8,0
47,6,62.32,1
46,4,65.29,1
54,49,49.3,0
35,5,77.97,1
38,72,62.58,0
30,9,73.39,1
36,4,47.25,0
46,37,56.25,0
51,25,79.45,0
30,16,57.54,0
52,19,99.54,1
58,30,57.01,1
46,6,69.49,1
64,72,83.65,0
32,72,36.63,0
27,25,29.78,0
20,5,34.49,0
59,27,90.25,1
49,1,53.96,1
41,1,116.16,1
45,7,53.72,1
28,14,68.69,1
71,48,95.84,1
43,31,105.12,1
43,32,106.23,1
50,13,89.17,1
47,10,85.48,1
44,11,76.85,1
32,72,80.57,0
47,1,53.98,1
64,48,48.64,0
58,20,64.93,0
61,13,61.6,0
35,31,55.94,0
30,16,78.93,1
40,49,84.11,0
42,55,66.77,0
55,13,94.55,1
21,7,42.17,0
60,21,61.13,0
40,58,50.66,0
36,5,27.67,0
29,23,63.35,1
22,23,62.57,0
51,31,95.27,1
42,3,77.62,0
26,30,44.52,0
26,57,102.08,0
37,4,89.42,1
62,6,76.64,1
38,72,60.47,0
23,4,45.81,0
39,46,57.56,0
38,16,86.77,1
18,6,102.69,1
41,49,95.86,1
39,14,55.22,1
50,17,42.61,0
64,10,67.82,1
55,21,29.63,0
38,4,71.46,1
28,11,62.05,1
72,72,55.68,0
42,7,33.11,1
42,25,75.27,1
41,9,54.35,0
44,35,41.6,0
40,3,20.0,0
35,72,64.45,0
35,14,100.45,1
41,6,98.23,1
35,1,55.86,1
33,4,52.96,0
43,17,74.38,1
38,9,45.03,0
60,42,71.04,0
18,13,80.32,1
55,6,89.54,1
56,23,63.0,1
18,29,60.93,0
37,4,47.44,0
37,4,48.46,0
25,1,60.47,0
32,31,72.35,0
28,26,83.27,1
63,15,48.94,1
53,44,94.85,1
57,39,59.58,0
50,21,64.57,1
28,48,50.06,0
35,5,20.0,0
47,2,82.68,1
27,7,79.74,1
50,1,59.37,0
39,18,66.34,0
37,66,75.32,0
50,1,33.75,1
47,3,54.42,1
37,14,80.89,1
55,65,39.91,0
29,9,70.87,1
49,16,37.87,0
49,1,74.33,1
38,3,64.29,1
45,72,32.7,0
26,72,88.29,1
53,1,50.31,0
39,72,48.79,0
35,24,69.01,1
54,48,87.97,1
33,14,44.68,0
25,17,66.23,0
23,16,73.58,1
49,26,78.86,0
26,3,68.53,1
63,1,57.66,1
18,8,48.45,0
62,29,66.72,1
44,5,43.56,0
40,26,20.0,0
35,72,73.73,0
46,2,83.08,1
41,26,20.0,0
55,14,44.81,0
43,48,77.38,1
43,4,106.15,1
37,28,65.42,0
41,43,50.44,0
45,69,61.34,0
21,27,92.5,1
25,16,52.08,0
50,23,49.02,1
44,48,55.35,0
39,20,45.93,1
42,1,67.45,1
46,64,97.49,1
35,28,71.46,0
32,27,59.95,1
44,5,59.16,0
30,25,33.74,0
46,12,82.66,1
21,25,63.44,0
54,2,61.39,1
47,25,120.0,1
45,72,70.98,0
53,1,49.96,0
61,72,56.47,0
54,12,87.97,1
19,49,67.27,1
26,36,36.23,0
34,20,83.38,1
42,32,51.64,0
48,50,102.47,1
33,12,86.6,1
44,9,56.05,0
32,26,90.62,1
34,39,66.36,1
25,34,82.06,1
30,38,74.69,1
25,13,48.07,0
30,40,52.13,0
54,3,85.6,1
30,18,58.3,0
73,1,56.93,0
47,9,45.9,0
44,10,73.47,1
31,12,106.25,1
50,28,43.65,0
35,11,65.48,1
43,14,93.24,1
72,6,63.41,1
40,11,74.05,1
55,6,43.75,0
33,1,73.57,1
41,22,61.26,0
63,26,84.71,1
34,23,88.75,1
63,14,116.79,1
50,11,76.59,1
35,47,71.52,1
49,17,68.89,1
53,15,57.94,1
49,1,71.77,1
23,10,59.09,0
33,11,68.37,1
39,12,91.35,1
41,20,44.87,1
49,18,87.8,1
44,22,91.34,1
25,34,62.64,0
46,40,22.56,0
49,30,52.84,1
48,72,90.94,1
54,1,64.54,0
52,5,45.01,0
47,1,54.9,0
41,25,81.81,1
22,54,75.93,0
47,6,60.22,1
44,62,57.66,0
45,1,57.16,1
26,65,46.55,0
29,10,97.31,1
54,2,58.55,1
41,15,89.34,1
50,7,95.43,1
42,8,84.97,1
42,8,56.37,1
53,38,73.07,0
35,18,64.52,0
43,8,46.93,0
36,22,71.49,1
36,30,41.42,0
38,7,88.75,1
44,12,55.71,0
36,3,69.02,1
57,4,70.67,1
31,27,59.82,1
39,4,76.73,0
36,17,55.5,1
59,29,82.43,1
44,2,38.08,0
54,20,67.53,1
24,7,103.78,1
45,72,44.99,0
52,15,51.45,0
